cluster,message_id,text,primary_label_guess,secondary_label_guess
1,c0f59135-ef14-43a3-9ba0-293aeeedaee1,"human: What's your best product? - ai: Good evening! Our best product is the Chemist at Play Underarm Roll-On for Odour Control & Pigmentation, which is great for reducing underarm pigmentation and controlling odor. Ready to elevate your beauty routine? What's your skin type, and do you have any particular concerns you'd like to address? Best for oily skin",,
1,f940bcfe-86c0-4fb6-ac26-536604b307a3,"human: Aap Hindi mein bataiye - ai: नमस्ते! शाम का समय है, आपको शुभ संध्या! कैसे मदद कर सकता हूँ? - human: Mujhe face wash order karna hai - ai: Aap ""Salicylic Acid Face Wash for Acne & Oil Control- 100ml"" order kar sakte hain, iska price hai 260.00 INR. Kya aap is product ke ingredients ya use karne ka tarika aur jaanna chahenge? - human: Order kaise karte hain - ai: Aap is link par jaakar ""Salicylic Acid Face Wash for Acne & Oil Control- 100ml"" order kar sakte hain: (http://bareanatomy.myshopify.com/cart/40387288629294:1?note=came-from-verifast). - human: Add to cart - Salicylic Acid Face Wash for Acne & Oil Control- 100ml - ai: Great choice! I have added the product to cart. Would you like to continue chatting or proceed to checkout? - human: Aap Hindi mein message nahin kar sakti - ai: I'm sorry, but I can only respond in English. How can I assist you with your order? - human: Order kab tak a jaega - ai: Mujhe aapka order dhoondhne mein madad karne ke liye aapka contact number ya email id chahiye. Hum aapke order ki details jaanne mein madad kar sakte hain. Aapko yeh bhi yaad rahe ki humara delivery time 3 se 7 din hai, isliye aapka order aapke doorstep par jaldi hi aayega. - human: Main aapko adress bhej rahi hun mande Wal Tanda taluk jevar hi jila kalburgi sevalal gudi ke pass Aakar call kijiye - ai: Mujhe aapki pareshani ke liye khed hai. Aap apne order se sambandhit kisi bhi samasya ke liye seedha chat@innovist.com par sampark kar sakte hain. Hum aapki madad karne ke liye yahan hain! - human: Kis date pe order mil jayega - ai: Mujhe aapka order dhoondhne mein madad karne ke liye aapka contact number ya email id chahiye. Isse hum aapki order details jaanne mein madad kar sakte hain. Aapko yeh yaad rahe ki hum 3 se 7 din mein aapka order aapke doorstep par pahunchate hain. - human: Mera order kab aaega - ai: Mujhe aapki order details dhoondhne mein madad karne ke liye aapka contact number ya email id chahiye. Isse hum aapki order ki jankari jaan sakte hain. Aapko yeh yaad rahe ki hum 3 se 7 din mein aapka order aapke doorstep par pahunchate hain. - human: Aap Hindi mein nahin bol sakti - ai: Mujhe aapki order details dhoondhne mein madad karne ke liye aapka contact number ya email id chahiye. Aapko yeh yaad rahe ki hum 3 se 7 din mein aapka order aapke doorstep par pahunchate hain. Mera order confirm ho gaya hai",,
1,72d257c3-1dce-4a47-bb82-2c78dafff5c0,"human: How to use this product - ai: To use the Anti Dandruff Shampoo with Salicylic Acid & Biotin- 250ml, just apply it to your scalp and hair, massage gently, and rinse with lukewarm or cold water, using it twice to thrice a week. Would you like to know more about the product, like ingredients or other details? Others details",,
1,b26369cf-8efd-47bc-8155-31df3c9e5043,What's special about it? Ultra Smoothing Shampoo for Smooth & Shiny Hair- 250ml,,
1,df90bd2e-c35f-4ef2-aba1-4898179ceed5,"human: How to use it in daily routine? Rosemary & Rice Water Hair Growth Spray - ai: Good evening! You can use the Rosemary & Rice Water Hair Growth Spray daily as a leave-in conditioner after washing your hair or apply it overnight as a scalp treatment. Would you like to know more about the product, like ingredients or other details? - human: Is it beneficial - ai: Absolutely! The Rosemary & Rice Water Hair Growth Spray promotes hair growth, boosts thickness, and reduces hair fall. - human: Results - ai: You can expect visible results like reduced hair fall and improved thickness within 2-4 weeks of consistent use! If you're interested, you can grab the Rosemary & Rice Water Hair Growth Spray for just 379.00 INR (http://bareanatomy.myshopify.com/cart/41159842267182:1?note=came-from-verifast). Add to cart - Rosemary & Rice Water Hair Growth Spray",,
1,fab01391-7356-49bd-a31f-093e7b1579a1,"human: How long to see results? Advanced Hair Growth Serum with Redensyl, Rosemary, Rice Water (30 ml) - ai: Good morning! You can see noticeable results from the Advanced Hair Growth Serum with Redensyl, Rosemary, Rice Water (30 ml) within 45 days of consistent use, and many users have reported amazing results, like one saying it helped grow hair 2x faster! Plus, you can expect up to 214% new hair growth in just 10 days. Would you like to know more about the ingredients or how to use it? - ai: {""message_hints"": [""How long for visible results?"", ""Is it safe for oily scalp?"", ""What happens if I stop using?""]} - human: In hindi - ai: आप 45 दिनों के लगातार उपयोग में परिणाम देख सकते हैं। - human: Acha - ai: Glad I could help! If you have any more questions about our products, feel free to ask. - human: Kya fayda hai - ai: Advanced Hair Growth Serum with Redensyl, Rosemary, Rice Water (30 ml) helps boost hair growth by 214%, reduces hair loss, and strengthens hair follicles. Want to grab it? You can add it to your cart (http://bareanatomy.myshopify.com/cart/40635353432110:1?note=came-from-verifast). Plus, use code VTFLAT35 for 35% off on orders above 899! Seee results",,
1,c08c3701-2954-4f13-a951-9c8f920cbcd5,What's special about it? Underarm Roll On for Odour Control & Pigmentation,,
1,f7041fc2-ab12-422c-a156-795c87ac90ae,"human: Hello - ai: Good afternoon! Hope you’re doing well. How may I assist you today? - human: I have dull face....which serum better for glow - ai: For a glowing face, I recommend the << 10% Vitamin C Face Serum for Glowing & Bright Skin - 30ml >>. Would you like to know what makes it special for your requirement? - human: I have strawberry arms and legs what should do - ai: You might want to try the << Exfoliating Body Wash with Lactic Acid - 236 ml >> to help with strawberry arms and legs! - human: Which body lotion is good for strawberry legs and arms - ai: You should try the << AHA Body Lotion with Niacinamide & Shea Butter >> for strawberry legs and arms! - human: Add to cart - AHA Body Lotion with Niacinamide & Shea Butter - ai: Great choice! I have added the product to cart. Would you like to continue chatting or proceed to checkout? Which facewash is good for brighter face",,
1,544bf7ed-ae32-4654-80b6-c2908ec445ff,"human: What's special about it? Anti Dandruff Shampoo with Salicylic Acid & Biotin- 250ml - ai: Good morning! The Anti Dandruff Shampoo with Salicylic Acid & Biotin- 250ml is special because it reduces up to 100% dandruff in just 3 washes, exfoliates dead skin, and strengthens hair roots without drying out your scalp. Would you like to know more about the ingredients or how to use it? - human: Other than salicylic acid and biotin what are the other components in this shampoo - ai: Other than Salicylic Acid and Biotin, the shampoo contains ingredients like Piroctone Olamine, Glycerin, Shea Butter, and Dimethicone. - human: You have 2 types of anti dandruff shampoo what are the different between them - ai: The two types of Anti Dandruff Shampoo are the Bare Anatomy EXPERT Anti-Dandruff Shampoo, which is clinically proven to reduce dandruff with Salicylic Acid and Biotin, and the other Anti Dandruff Shampoo with Salicylic Acid and Piroctone Olamine, which also targets dandruff but has a different formulation. You can grab the Bare Anatomy EXPERT Anti-Dandruff Shampoo for just 460.00 INR and enjoy 35% off on orders above 899 with code VTFLAT35! (http://bareanatomy.myshopify.com/cart/40158830198830:1?note=came-from-verifast) Which one is the best shampoo for dandruff and why",,
1,964fdb0e-06c2-40b9-8ed1-150805c26582,What's your best product?,,
